term;uuid;concept;type;term_uuid;term_misspelled;version
sjuksksköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;a56b39fd-76c3-56c1-b878-464a6d610bd6;True;NARVALONTOLOGI-2.0.0.157
sjukssköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;cccea76b-fcc6-5c91-b2aa-c2c32d3a15dd;True;NARVALONTOLOGI-2.0.0.157
sjuksköetrska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;233910e1-e38a-52d9-8b08-77cf69b28f91;True;NARVALONTOLOGI-2.0.0.157
sjuksöterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;be2759a0-5ae5-5cf6-9f69-b570110f43b6;True;NARVALONTOLOGI-2.0.0.157
sjuköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;da1bfe1d-e19a-5983-91c4-c47a5097a1e6;True;NARVALONTOLOGI-2.0.0.157
sjukskötersla;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;89573b50-201f-5db5-aa10-2c342d0cdd9d;True;NARVALONTOLOGI-2.0.0.157
sjusksköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;91ed9f23-1090-5aa4-b012-506a91ac4ed8;True;NARVALONTOLOGI-2.0.0.157
sjusköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;101858a1-625d-5730-929a-b2d011ebd228;True;NARVALONTOLOGI-2.0.0.157
sjuksköerska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;6a1ff04e-eb50-5312-9b5d-b291048177be;True;NARVALONTOLOGI-2.0.0.157
skjuksköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;3137bce6-2708-56e7-99af-8094fd3bee46;True;NARVALONTOLOGI-2.0.0.157
sjukskötersa;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;fe6797ec-700a-5c11-a60d-d878558c4029;True;NARVALONTOLOGI-2.0.0.157
juksköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;036a6ab3-c00f-5548-9696-3783540edcec;True;NARVALONTOLOGI-2.0.0.157
sjuksökterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;cc97aa95-b879-5cac-a664-d494c4ff9612;True;NARVALONTOLOGI-2.0.0.157
sjukksöterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;550173cc-c3e8-55cd-8b38-2827f8b3d2d0;True;NARVALONTOLOGI-2.0.0.157
sjuksköter;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;e97c7a4a-29dd-5b04-89ac-359e109cfa29;True;NARVALONTOLOGI-2.0.0.157
sjuksköters;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;8c085037-74db-5094-8c90-2da2397d6792;True;NARVALONTOLOGI-2.0.0.157
sjuksköterka;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;b531af26-8260-57e9-ac07-140325bf1505;True;NARVALONTOLOGI-2.0.0.157
