term;uuid;concept;type;term_uuid;term_misspelled;version
analytisk förmåga;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;29fc55dd-f387-5714-9a35-b54483374078;False;NARVALONTOLOGI-2.0.0.157
analytiskt lagd;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;a89803d4-6e6d-5cea-a416-01502de0fcc8;False;NARVALONTOLOGI-2.0.0.157
analytiskt sinnelag;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;5f7f10fc-94b2-5dc4-8c8f-324da8b85e72;False;NARVALONTOLOGI-2.0.0.157
anpassningsbar;93d96f9f-53d6-5c25-850f-ddfcc97bd3d3;Anpassningsbar;FORMAGA;c58adab1-9520-54e4-b3c3-9dbb37ff7b37;False;NARVALONTOLOGI-2.0.0.157
anpassningsförmåga;93d96f9f-53d6-5c25-850f-ddfcc97bd3d3;Anpassningsbar;FORMAGA;f8a1d9b3-b5af-57e7-a9e1-9f5a29520f6b;False;NARVALONTOLOGI-2.0.0.157
anspråkslös;4efec579-0b73-5ea7-bf13-b7b27b01406c;Anspråkslös;FORMAGA;152f1110-5dd8-54a5-bed6-a7fb43942335;False;NARVALONTOLOGI-2.0.0.157
ansvarsdriven;fabbe6f8-436d-5810-8e41-730429b9d3f7;Ansvarsmedveten;FORMAGA;1d9a4606-bb23-5331-bffb-766af6d15c40;False;NARVALONTOLOGI-2.0.0.157
ansvarsmedveten;fabbe6f8-436d-5810-8e41-730429b9d3f7;Ansvarsmedveten;FORMAGA;9ae1c2c6-bd3c-5bf4-bdc6-49bcf0f127dd;False;NARVALONTOLOGI-2.0.0.157
ansvarsfull;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;d5ed2cef-e13b-5677-9fcf-b463f9e4cb02;False;NARVALONTOLOGI-2.0.0.157
ansvarsfullhet;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;c830d03e-8cdc-512e-b270-87822ca24dc7;False;NARVALONTOLOGI-2.0.0.157
ansvarsfylld;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;64911dc2-bb34-5e7b-aad4-3567f8092170;False;NARVALONTOLOGI-2.0.0.157
ansvarsförmåga;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;f5edb6e9-9537-5375-9732-9331e5b5cf06;False;NARVALONTOLOGI-2.0.0.157
ansvarskännande;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;f76162a8-1e4e-532c-810e-b34c3ec78da7;False;NARVALONTOLOGI-2.0.0.157
ansvarskänsla;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;6e15e101-14b0-5638-8d33-04de42bdd02d;False;NARVALONTOLOGI-2.0.0.157
ansvarstagande;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;848f9d40-6019-5c56-b3c5-9f529dac8f81;False;NARVALONTOLOGI-2.0.0.157
arbeta självständigt;7b43b640-bea8-57f4-9755-90a55f024054;Arbeta självständigt;FORMAGA;0d0c1754-fe3b-50e4-87b1-37aacbf271c0;False;NARVALONTOLOGI-2.0.0.157
arbetsam;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;2a919b40-883c-5c30-8986-b8f0df0e5a36;False;NARVALONTOLOGI-2.0.0.157
arbetsglad;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;0dd4a0fb-558c-565d-8f57-2bce738a6a6b;False;NARVALONTOLOGI-2.0.0.157
arbetshungrig;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;b9e76055-29ce-5161-9428-b3d239d8d586;False;NARVALONTOLOGI-2.0.0.157
arbetsintresserad;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;36c78313-35da-520b-8310-a37e6c5b10df;False;NARVALONTOLOGI-2.0.0.157
arbetsmotiverad;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;1354797c-1f52-5db2-8a28-0c1588a44c77;False;NARVALONTOLOGI-2.0.0.157
arbetsmyra;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;61b99082-5aa4-5d77-9d56-b6dce16fc6cf;False;NARVALONTOLOGI-2.0.0.157
arbetssugen;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;7e350ce2-61e3-5224-8db0-63c0042670c8;False;NARVALONTOLOGI-2.0.0.157
arbetsvilja;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;89d8a5b8-6749-545f-9c5d-fefdc9592d5e;False;NARVALONTOLOGI-2.0.0.157
arbetsvillig;97b6a21d-f726-5a41-9d66-0c282e60cfde;Arbetsvillig;FORMAGA;fe67bab2-8375-5647-894c-1366335868e2;False;NARVALONTOLOGI-2.0.0.157
arbetsdisciplin;f280d610-c93e-5141-ad8b-65a5b7499ffc;Arbetsdisciplin;FORMAGA;d94950d9-211c-5ab0-a82c-b89083cae7e0;False;NARVALONTOLOGI-2.0.0.157
arbetslagsmänniska;5603b742-d330-56ca-9f89-18fb51067cc2;Arbetslagsmänniska;FORMAGA;1bbf73bb-ee15-50bf-84b5-6cb812fb4224;False;NARVALONTOLOGI-2.0.0.157
arbetslojal;1b022c1b-e921-5a2f-bf9b-e311a7eae194;Arbetsmoral;FORMAGA;c04a04cd-a067-57f0-8916-c77512eedf7c;False;NARVALONTOLOGI-2.0.0.157
arbetsmoral;1b022c1b-e921-5a2f-bf9b-e311a7eae194;Arbetsmoral;FORMAGA;9bb75c75-f1e4-5e66-a0ec-a3ca2f8a3ddd;False;NARVALONTOLOGI-2.0.0.157
artig;6a29c577-671c-5a73-91e5-468a53492444;Artig;FORMAGA;06f7f2bc-ba90-5ad2-88f4-2a1445d93b9a;False;NARVALONTOLOGI-2.0.0.157
auktoritär;6739d0f2-0ec7-5739-9a3f-d53fa6b7abf1;Auktoritär;FORMAGA;a6544e52-b066-5f66-8f0a-01c24e8384f8;False;NARVALONTOLOGI-2.0.0.157
